city;X;Y
0;27;19
1;126;5
2;148;109
3;78;110
4;108;25
5;68;44
6;125;95
7;114;26
8;135;148
9;28;142
10;48;68
11;148;75
12;102;79
13;3;23
14;127;42
15;115;55
16;5;22
17;62;111
18;13;56
19;84;6
20;12;34
21;79;6
22;79;71
23;135;126
24;71;74
25;70;138
26;97;115
27;62;91
28;141;26
29;55;54
30;27;123
31;145;37
32;63;8
33;25;92
34;59;48
35;99;102
36;70;93
37;83;33
38;101;28
39;117;105
40;100;127
41;33;1
42;129;84
43;36;36
44;20;22
45;139;1
46;109;136
47;51;56
48;43;26
49;117;141
50;149;4
51;62;148
52;56;46
53;51;76
54;15;81
55;94;103
56;16;22
57;142;120
58;146;2
59;119;58
60;36;1
61;90;74
62;136;86
63;115;117
64;106;90
65;8;75
66;103;92
67;31;103
68;117;82
69;121;114
70;97;90
71;11;73
72;130;104
73;138;135
74;88;104
75;22;99
76;65;144
77;123;5
78;60;59
79;53;30
80;95;13
81;29;8
82;76;49
83;29;72
84;57;13
85;21;136
86;94;45
87;17;40
88;127;135
89;118;65
90;132;64
91;7;139
92;26;6
93;98;65
94;72;107
95;26;130
96;27;73
97;139;96
98;2;33
99;95;97
100;115;72
101;139;30
102;23;100
103;109;139
104;77;98
105;51;68
106;104;98
107;65;143
108;26;48
109;51;6
110;127;144
111;88;65
112;114;128
113;59;26
114;112;46
115;26;127
116;122;92
117;100;36
118;130;62
119;125;51
120;99;21
121;124;129
122;132;23
123;93;58
124;29;69
125;13;39
126;75;110
127;13;10
128;45;79
129;148;73
130;31;90
131;64;11
132;6;111
133;136;68
134;123;13
135;19;145
136;129;40
137;41;129
138;1;15
139;11;90
140;123;137
141;84;23
142;79;129
143;94;87
144;72;41
145;33;94
146;104;33
147;65;78
148;45;71
149;107;3
150;140;72
151;70;58
152;1;49
153;95;96
154;109;55
155;104;2
156;49;116
157;6;112
158;52;37
159;42;4
160;51;114
161;12;10
162;137;61
163;79;60
164;49;58
165;48;29
166;139;23
167;85;70
168;138;100
169;99;135
170;78;107
171;103;65
172;1;95
173;132;116
174;131;77
175;121;45
176;106;63
177;130;21
178;134;19
179;13;134
180;27;92
181;34;118
182;140;114
183;55;19
184;148;84
185;25;15
186;87;96
187;122;90
188;69;86
189;117;52
190;91;22
191;106;130
192;91;87
193;62;121
194;32;3
195;35;95
196;132;131
197;78;108
198;148;77
199;103;125
