city;X;Y
0;136;39
1;122;141
2;33;126
3;55;118
4;20;123
5;34;68
6;90;140
7;8;131
8;85;4
9;144;132
10;56;142
11;122;143
12;111;34
13;66;5
14;22;5
15;12;100
16;146;136
17;127;17
18;72;109
19;139;64
20;138;24
21;16;28
22;45;35
23;142;123
24;125;29
25;37;123
26;119;27
27;133;98
28;109;149
29;121;143
30;27;10
31;44;30
32;13;75
33;19;37
34;122;139
35;67;111
36;3;115
37;105;137
38;86;146
39;84;139
40;114;113
41;118;27
42;140;61
43;1;68
44;114;35
45;149;141
46;21;86
47;19;31
48;47;89
49;17;23
50;75;33
51;19;17
52;31;31
53;127;130
54;11;127
55;123;137
56;121;7
57;19;113
58;124;21
59;144;119
60;131;148
61;135;93
62;82;54
63;53;88
64;141;79
65;139;137
66;50;140
67;7;100
68;144;98
69;18;35
70;23;1
71;117;119
72;139;147
73;105;10
74;28;27
75;8;126
76;70;134
77;34;26
78;7;7
79;121;87
80;135;118
81;94;8
82;13;31
83;12;29
84;20;49
85;36;51
86;70;10
87;123;47
88;132;149
89;67;129
90;122;15
91;20;139
92;137;12
93;33;14
94;99;136
95;115;31
96;139;22
97;50;9
98;92;78
99;5;128
100;67;134
101;128;113
102;124;128
103;5;126
104;136;58
105;107;89
106;67;25
107;148;28
108;139;65
109;113;102
110;144;144
111;129;112
112;134;137
113;126;84
114;126;117
115;36;19
116;131;63
117;23;138
118;57;8
119;115;120
120;126;137
121;120;131
122;122;33
123;91;34
124;94;26
125;96;115
126;24;13
127;52;1
128;24;145
129;112;137
130;124;58
131;135;17
132;140;78
133;132;130
134;46;124
135;78;113
136;35;145
137;27;139
138;34;15
139;115;114
140;100;23
141;132;123
142;145;33
143;31;21
144;35;3
145;26;70
146;25;111
147;16;113
148;135;85
149;64;9
150;7;138
151;3;63
152;107;126
153;8;51
154;86;83
155;33;117
156;5;137
157;18;123
158;145;36
159;134;144
160;133;140
161;105;79
162;24;117
163;60;22
164;1;4
165;38;19
166;126;114
167;3;112
168;25;34
169;122;112
170;30;11
171;21;148
172;75;35
173;142;36
174;37;79
175;103;1
176;139;51
177;18;42
178;67;119
179;66;14
180;1;35
181;114;131
182;54;149
183;27;5
184;124;135
185;5;12
186;138;36
187;64;146
188;31;14
189;27;1
190;70;3
191;116;57
192;49;131
193;67;121
194;127;43
195;134;11
196;142;91
197;89;51
198;103;137
199;147;143
