city;X;Y
0;72;82
1;83;94
2;53;53
3;86;95
4;61;19
5;128;54
6;126;26
7;75;69
8;19;86
9;88;105
10;116;102
11;66;40
12;69;65
13;99;83
14;90;128
15;73;52
16;27;34
17;88;71
18;22;128
19;91;69
20;84;145
21;80;92
22;108;99
23;62;36
24;59;101
25;89;38
26;93;73
27;79;65
28;57;39
29;102;75
30;88;86
31;115;125
32;101;71
33;88;68
34;70;78
35;12;20
36;71;35
37;65;27
38;105;78
39;73;71
40;65;79
41;77;89
42;51;99
43;75;55
44;38;71
45;87;72
46;31;59
47;81;71
48;62;60
49;71;31
50;70;86
51;22;124
52;78;79
53;85;83
54;105;129
55;93;62
56;124;125
57;71;41
58;53;102
59;108;35
60;32;135
61;73;26
62;108;68
63;72;60
64;95;110
65;44;1
66;43;65
67;68;78
68;106;79
69;70;43
70;62;109
71;83;97
72;63;62
73;58;39
74;112;9
75;100;92
76;26;101
77;30;26
78;81;79
79;65;102
80;65;82
81;82;81
82;65;80
83;70;88
84;74;72
85;112;72
86;92;39
87;85;58
88;63;86
89;83;96
90;53;123
91;103;53
92;23;19
93;121;78
94;85;82
95;41;60
96;142;71
97;107;128
98;71;57
99;84;45
100;38;95
101;77;55
102;108;98
103;43;135
104;74;69
105;44;104
106;112;96
107;89;71
108;30;116
109;105;110
110;72;95
111;77;84
112;80;50
113;107;60
114;83;35
115;69;79
116;81;51
117;101;40
118;95;72
119;63;85
120;66;71
121;142;8
122;76;59
123;60;86
124;118;83
125;67;51
126;87;106
127;22;100
128;86;70
129;86;34
130;108;59
131;86;88
132;98;104
133;60;81
134;59;59
135;68;63
136;146;92
137;79;88
138;92;76
139;72;78
140;57;53
141;109;109
142;47;74
143;99;56
144;62;40
145;66;72
146;86;74
147;114;33
148;84;76
149;33;88
150;53;104
151;66;85
152;21;29
153;78;123
154;101;47
155;100;100
156;104;79
157;77;61
158;49;78
159;49;26
160;63;65
161;82;69
162;51;65
163;94;46
164;63;84
165;120;112
166;48;79
167;101;20
168;60;83
169;114;27
170;47;79
171;83;62
172;76;75
173;129;103
174;23;26
175;109;65
176;46;75
177;63;68
178;38;44
179;112;59
180;61;107
181;95;68
182;92;96
183;33;23
184;77;68
185;73;60
186;77;99
187;91;75
188;109;78
189;88;67
190;61;70
191;45;75
192;41;40
193;77;76
194;32;113
195;88;21
196;63;59
197;40;80
198;73;80
199;84;25
