city;X;Y
0;37;145
1;96;25
2;6;115
3;20;98
4;116;134
5;116;145
6;112;20
7;25;115
8;20;144
9;143;41
10;138;33
11;24;139
12;143;147
13;6;30
14;94;143
15;3;148
16;26;27
17;147;25
18;142;29
19;22;74
20;45;90
21;131;102
22;25;87
23;8;147
24;17;80
25;93;135
26;12;114
27;146;53
28;62;86
29;15;59
30;11;4
31;15;78
32;64;3
33;57;63
34;112;76
35;38;28
36;3;138
37;103;23
38;20;137
39;102;34
40;17;33
41;12;45
42;5;143
43;21;148
44;5;71
45;123;110
46;42;28
47;141;17
48;5;18
49;26;55
50;9;128
51;19;20
52;53;23
53;140;134
54;147;24
55;31;139
56;64;13
57;45;22
58;6;146
59;137;87
60;93;112
61;13;14
62;39;33
63;134;10
64;12;143
65;134;9
66;37;16
67;103;143
68;9;117
69;35;11
70;110;35
71;127;48
72;5;108
73;148;37
74;120;32
75;7;121
76;55;29
77;2;52
78;33;7
79;145;121
80;139;146
81;15;126
82;4;133
83;30;22
84;120;116
85;145;112
86;144;123
87;101;27
88;76;58
89;141;4
90;26;146
91;72;110
92;57;128
93;7;14
94;126;122
95;143;43
96;67;112
97;90;110
98;61;43
99;123;7
100;51;47
101;12;27
102;29;8
103;121;75
104;1;108
105;144;101
106;28;70
107;88;129
108;24;43
109;27;23
110;25;75
111;10;141
112;77;146
113;55;27
114;33;14
115;95;140
116;128;78
117;16;30
118;23;5
119;133;62
120;126;46
121;147;113
122;33;138
123;5;141
124;9;141
125;85;129
126;1;15
127;125;16
128;145;117
129;119;123
130;36;122
131;6;13
132;97;137
133;121;149
134;20;18
135;124;91
136;33;139
137;124;125
138;18;133
139;137;67
140;123;32
141;132;63
142;121;30
143;135;14
144;40;84
145;76;116
146;144;140
147;17;91
148;32;89
149;39;72
150;59;120
151;9;116
152;92;26
153;115;2
154;118;68
155;39;132
156;135;92
157;95;8
158;125;44
159;17;49
160;64;60
161;44;46
162;37;138
163;105;126
164;81;117
165;114;144
166;39;141
167;47;17
168;134;127
169;5;9
170;16;136
171;5;129
172;79;19
173;112;3
174;1;30
175;22;27
176;30;98
177;133;141
178;56;23
179;48;136
180;115;137
181;133;12
182;51;14
183;44;136
184;114;115
185;14;131
186;142;45
187;4;90
188;7;22
189;29;37
190;56;14
191;15;119
192;125;65
193;13;135
194;122;23
195;15;105
196;1;126
197;54;84
198;114;137
199;29;16
