city;X;Y
0;86;76
1;72;35
2;78;68
3;44;55
4;65;87
5;117;21
6;60;65
7;38;55
8;124;45
9;117;137
10;103;105
11;101;82
12;107;45
13;48;5
14;66;75
15;70;137
16;62;88
17;79;85
18;56;57
19;93;56
20;47;86
21;65;79
22;70;38
23;81;102
24;84;54
25;39;90
26;78;96
27;73;73
28;25;52
29;77;114
30;128;36
31;38;104
32;92;124
33;15;105
34;91;102
35;134;67
36;98;93
37;45;126
38;84;37
39;85;39
40;88;88
41;135;9
42;38;39
43;123;43
44;20;68
45;105;87
46;81;60
47;144;14
48;69;66
49;85;80
50;128;107
51;75;69
52;81;86
53;73;53
54;80;44
55;56;40
56;131;6
57;60;107
58;87;53
59;112;97
60;102;37
61;61;61
62;28;126
63;90;91
64;128;117
65;26;52
66;15;122
67;134;17
68;82;91
69;65;82
70;47;106
71;82;78
72;81;84
73;67;78
74;72;78
75;43;83
76;61;87
77;138;108
78;93;6
79;69;85
80;106;22
81;75;115
82;38;17
83;73;83
84;81;63
85;109;96
86;54;143
87;88;76
88;49;39
89;55;101
90;127;51
91;84;62
92;89;77
93;76;120
94;95;6
95;105;62
96;19;31
97;64;92
98;93;112
99;73;76
100;70;87
101;67;79
102;80;40
103;87;43
104;21;86
105;98;75
106;11;146
107;84;88
108;101;57
109;85;59
110;63;94
111;70;73
112;68;69
113;145;24
114;18;42
115;78;70
116;120;46
117;26;27
118;35;124
119;61;75
120;110;108
121;104;101
122;77;77
123;105;81
124;75;109
125;103;90
126;129;29
127;75;84
128;81;65
129;39;78
130;38;60
131;87;87
132;76;80
133;68;71
134;36;51
135;12;52
136;64;19
137;31;58
138;80;79
139;25;23
140;78;64
141;44;13
142;63;71
143;46;68
144;109;77
145;81;76
146;66;62
147;68;86
148;73;87
149;41;102
150;86;81
151;17;34
152;77;72
153;100;87
154;91;43
155;83;65
156;75;74
157;81;78
158;73;12
159;78;60
160;90;64
161;34;58
162;101;94
163;86;88
164;88;60
165;57;39
166;22;103
167;80;70
168;80;85
169;104;74
170;138;21
171;58;92
172;74;78
173;63;78
174;57;78
175;44;110
176;92;49
177;108;36
178;72;117
179;82;53
180;70;24
181;62;20
182;105;96
183;76;83
184;60;81
185;50;109
186;139;116
187;87;62
188;78;16
189;123;148
190;73;62
191;76;60
192;46;38
193;67;24
194;89;93
195;73;75
196;37;77
197;60;86
198;71;56
199;84;85
